project_id,project_name,authority,study_district,study_state,project_type,aliases,folder,registry_basis,identity_rule,scope_rule,downloaded_source_count,normalized_observation_count,training_ready
REAL_001,Delhi-Mumbai Expressway,NHAI,Dausa,Rajasthan,expressway,Delhi-Mumbai Expressway | Delhi-Vadodara Expressway | Delhi-Vadodara Greenfield Expressway | Delhi-Vadodara Access Controlled Greenfield Alignment | NH-148N | DME | NE-4,REAL_001_DELHI_MUMBAI_EXPRESSWAY,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.",Project-wide facts must not be represented as study-district or parcel facts.,8,9,False
REAL_002,Ganga Expressway,UPEIDA,Meerut,Uttar Pradesh,expressway,Ganga Expressway | Ganga Expressway Project | Uttar Pradesh Ganga Expressway,REAL_002,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.",Project-wide facts must not be represented as study-district or parcel facts.,42,4602,False
REAL_003,Char Dham Highway Project,MoRTH,Rudraprayag,Uttarakhand,road_programme,Char Dham Mahamarg | Char Dham Highway | Char Dham All Weather Road | Char Dham Road Project | Chardham | Char Dham Pariyojana,REAL_003,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.",Project-wide facts must not be represented as study-district or parcel facts.,4,11,False
REAL_004,Mumbai Metro Line 3,MMRCL,Mumbai,Maharashtra,metro,Mumbai Metro Line 3 | Aqua Line | Colaba-Bandra-SEEPZ Metro | Metro 3 | Mumbai Metro Line-III | Colaba-Bandra-SEEPZ,REAL_004,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.","Keep metro line, phase, corridor, depot and temporary/permanent land distinct; NH 3A/3D cannot be assumed applicable.",2,15,False
REAL_005,Delhi Metro Phase IV,DMRC,New Delhi,Delhi,metro_phase,Delhi Metro Phase IV | Delhi Metro Phase 4 | DMRC Phase IV | Delhi Metro Phase-IV | Delhi Metro Phase IV-2,REAL_005,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.","Keep metro line, phase, corridor, depot and temporary/permanent land distinct; NH 3A/3D cannot be assumed applicable.",4,14,False
REAL_006,Chennai Metro Rail Project,CMRL,Chennai,Tamil Nadu,metro,Chennai Metro | Chennai Metro Rail | Chennai Metro Rail Project | CMRL,REAL_006,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.","Keep metro line, phase, corridor, depot and temporary/permanent land distinct; NH 3A/3D cannot be assumed applicable.",3,18,False
REAL_007,Bharatmala Pariyojana,NHAI / MoRTH,Multi-district,Multi-state,programme,Bharatmala Pariyojana | Bharatmala,REAL_007,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.",Programme totals are context only; packages/corridors need separate entity identifiers.,2,11,False
REAL_008,Zojila Tunnel Project,NHIDCL,Ganderbal,Jammu & Kashmir,tunnel,Zojila Tunnel | Zoji La Tunnel | Zoji-la Tunnel,REAL_008,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.",Z-Morh is not an alias. Only explicitly linked approaches may be related_project records.,5,14,False
REAL_009,Mumbai-Nagpur Expressway,MSRDC,Nagpur corridor,Maharashtra,expressway,Mumbai Nagpur Expressway | Mumbai-Nagpur Expressway | Samruddhi Mahamarg | Maharashtra Samruddhi Mahamarg | Nagpur-Mumbai Super Communication Expressway | Nagpur Mumbai Super Communication,REAL_009,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.",Project-wide facts must not be represented as study-district or parcel facts.,3,8,False
REAL_010,Eastern Dedicated Freight Corridor,DFCCIL,Prayagraj corridor,Uttar Pradesh,freight_rail,Eastern Dedicated Freight Corridor | EDFC | Eastern DFC | DFCCIL Eastern Dedicated Freight Corridor | Eastern Dedicated Frieght Corridor,REAL_010,user_supplied_not_source_verified,"Alias is discovery only; confirm authority, scope and geographic/package context in source. Never substitute study district for source coverage.",Keep Eastern and Western corridors distinct; preserve railway notification/award sections verbatim.,2,9,False
