page,reference,text
1,PDF page 1," 
 
  
 
 
 
 
 
Preparation of Detailed Project Report (DPR) and providing 
Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel 
East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
Package III- Construction of approach roads (Approach road 
1 (Length 8.05 Km) from Design Ch.9+760 to Design  Ch. 
17+814 (Western Portal of proposed Zojila Tunnel) on 
Srinagar‐Leh road (NH‐1)& Approach road 2 (Length 0.66 
Km)- Design Ch. 0+000 (Eastern Portal of proposed Zojila 
Tunnel) to Ch. 0+660 (Existing km 118.00 on NH-1)) to East 
and West Portal of Proposed  Zojila Tunnel  with Avalanche 
Protection Works (15nos.),01no. Major bridge (135.80 m) in 
the UT of Jammu & Kashmir and Ladakh 
Draft Detailed Project Report 
Main Report 
March 2020 
 
 
 
May 2018 
 
Document No. 5061149.027 
www.smec.com  "
2,PDF page 2,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 1  
 
 
 
DOCUMENT/REPORT CONTROL FORM 
 
Document Number: ZOJ-SMEC-REP-GEN-017-R0 
Project Name: Consultancy Services for Preparation of Detailed Project Report and providing Pre‐
Construction activities: 
i. For construction of Approach Roads with Avalanche Protection Works to 
West and East portal of the proposed Zojila Tunnel between (between  
Baltal and Minamarg) from km 82.00 to km 95.00 on Srinagar‐Leh road (NH‐  
1) and; 
ii. For making the NH‐1 from Z‐Morh Tunnel to proposed Zojila Tunnel 
(approx. 20 km) all weather road in the State of Jammu & Kashmir  
Project Number: 7061520 
Revision Number: R0 
 
Revision History 
Revision # Date Prepared by Reviewed by Approved for Issue by 
R0 03.2020 AI/AK/RK/RK/JD/SD
/LU/AK/QN 
RA/AP/YD/MP NA 
 
Issue Register 
Distribution List Date Issued Number of Copies 
NHIDCL 30/08/2019 4 
SMEC staff - - 
Associates - - 
Office Library [Gurgaon] - - 
Report Project File 30/08/2019 1 
 
SMEC (India) Private Limited 
1st Floor, West Wing, Novus Tower, Plot No. -18, Sector-18, Gurugram – 122015, Haryana, India 
Tel: (91) 124 - 4501100 Fax: (91) 124 - 4380043 
Email: Neeta.arora@smec.com Website: www.smec.com  
 
The information within this document is and shall remain the property of SMEC. "
3,PDF page 3,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 2  
 
 
Disclaimer 
This report is confidential and is provided solely for the purposes of presenting the Draft Feasibility Report 
for executing design works for the concerned project. This report is p rovided pursuant to a Consultancy 
Agreement between M/s SMEC International Pty. Ltd. and National Highways & Infrastructure Development 
Corporation Limited (“NHIDCL”) under which SMEC undertook to prepare Detailed Project Report and 
provide Pre-Construction Activities in respect of the Approach Roads with Avalanche Protection Works in 
Zojila Tunnel.  This report is strictly limited to the matters stated in it and subject to the various assumptions, 
qualifications and limitations in it and does not apply by implication to other matters.  SMEC makes no 
representation that the scope, assumptions, qualifications and exclusions set out in this report will be 
suitable or sufficient for other purposes nor that the content of the report covers all matters which you may 
regard as material for your purposes.  
This report must be read as a whole.  The executive summary is not a substitute for this.  Any subsequent 
report must be read in conjunction with this report. 
The report supersedes all previous draft or interim reports, whether written or presented orally, before the 
date of this report.  This report has not and will not be updated for events or transactions occurring after the 
date of the report or any other matters which might have a material effect on its contents or which come to 
light after the date of the report.  SMEC is not obliged to inform you of any such event, transaction or matter 
nor to update the report for anything that occurs, or of which SMEC becomes aware, after the date of this 
report. 
Unless expressly agreed otherwise in writing, SMEC does not accept a duty of care or any other legal 
responsibility whatsoever in relation to this report, or any related enquiries, advice or other work, nor does 
SMEC make any representation in connection with this report, to any person other than NHIDCL.  Any other 
person who receives a draft or a copy of this report (or any part of it) or discusses it (or any part of it) or any 
related matter with SMEC, does so on the basis that he or she acknowledges and accepts that he or she may 
not rely on this report nor on any related information or advice given by SMEC for any purpose whatsoever. 
 "
4,PDF page 4,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 1  
 
 
 
Table of Contents 
 
0 EXECUTIVE SUMMARY ........................................................................................................................ 13 
0.1 Introduction ................................................................................................................................... 13 
0.1.1 General .................................................................................................................................................... 13 
0.2 The Project Road ............................................................................................................................ 13 
0.2.1 Existing Alignment ................................................................................................................................... 14 
0.2.2 Land use pattern along the alignment .................................................................................................... 14 
0.2.3 Evaluation of Proposed Alignment .......................................................................................................... 14 
0.3 Design Standards ........................................................................................................................... 14 
0.4 Traffic Surveys and Analysis ........................................................................................................... 14 
0.4.1 Traffic analysis ......................................................................................................................................... 15 
0.4.2 Traffic Forecast ........................................................................................................................................ 15 
0.4.3 Engineering Surveys and Investigations .................................................................................................. 15 
0.5 Pavement Design ........................................................................................................................... 16 
0.5.1 New Construction .................................................................................................................................... 16 
0.6 Geological Assessment and Avalanche Protection Measures ....................................................... 16 
0.7 Environment Impact Assessment (EIA) and Management Plan (EMP) ......................................... 17 
0.8 Social Impact Assessment (SIA) and Resettlement Plan (RP) ........................................................ 18 
0.9 Cost Estimation .............................................................................................................................. 18 
0.10 Economic and Financial Analysis ...................................................................................................... 2 
0.11 Winter Road Maintenance .............................................................................................................. 2 
1 CHAPTER – 1 PROJECT PREPARATION .................................................................................................... 4 
1.1 Background of the Project ............................................................................................................... 4 
1.2 Consultancy Appointment ............................................................................................................... 4 
2 CHAPTER–2: PROJECT ROAD DESCRIPTION ........................................................................................... 5 
2.1 Exisitng Road Alignment .................................................................................................................. 5 
2.2 Geology, Rock and Soil .................................................................................................................... 5 
2.3 Climate ............................................................................................................................................. 5 
2.4 Altitude: ........................................................................................................................................... 6 
2.5 Precipitation: ................................................................................................................................... 6 
2.6 Water Supply ................................................................................................................................... 6 
2.7 Demography .................................................................................................................................... 6 
2.8 Tourism ............................................................................................................................................ 6 
2.9 Terrain .............................................................................................................................................. 6 
2.10 Ecological Environment ................................................................................................................... 6 "
5,PDF page 5,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 2  
 
 
2.11 Seismicity ......................................................................................................................................... 2 
3 CHAPTER-3 DESIGN STANDARDS .......................................................................................................... 3 
3.1 General ............................................................................................................................................ 3 
3.2 Basis of Design ................................................................................................................................. 3 
3.2.1 Geometric Design ...................................................................................................................................... 3 
3.2.2 Terrain Classification ................................................................................................................................. 3 
3.2.3 Design Speed ............................................................................................................................................. 4 
3.2.4 Sight Distance ............................................................................................................................................ 4 
3.2.5 Width of Road Land (ROW), Roadway, Carriageway and Shoulders Right of Way (ROW) ........................ 5 
3.2.6 Roadway Width (Formation Width) .......................................................................................................... 6 
3.2.7 Camber / Cross Fall.................................................................................................................................. 16 
3.2.8 Horizontal Alignment .............................................................................................................................. 16 
3.2.9 General guidelines ................................................................................................................................... 16 
3.2.10 Superelevation ........................................................................................................................................ 19 
3.2.11 Vertical Alignment General ..................................................................................................................... 19 
3.2.12 Coordination of Horizontal & Vertical Alignments .................................................................................. 21 
3.2.13 Cross fall and Longitudinal Gradient ....................................................................................................... 21 
3.3 ROAD INTERSECTIONS ................................................................................................................... 22 
3.3.1 Introduction ............................................................................................................................................ 22 
3.3.2 At grade Intersections ............................................................................................................................. 22 
3.3.3 Design Traffic ........................................................................................................................................... 23 
3.3.4 Design Vehicle ......................................................................................................................................... 23 
3.3.5 Turning Radius ......................................................................................................................................... 23 
3.3.6 Width and Number of Lanes ................................................................................................................... 23 
3.3.7 Road Marking and Signage ...................................................................................................................... 24 
3.3.8 Junction Proposal .................................................................................................................................... 24 
3.4 Pavement Design ........................................................................................................................... 24 
3.4.1 INTRODUCTION ....................................................................................................................................... 24 
3.4.2 Frost Susceptibility of Soil ....................................................................................................................... 25 
3.4.3 Design of Flexible Pavement for Main Carriageway as per IRC: 37-2012 Guidelines .............................. 26 
3.4.4 Design of Rigid Pavement ........................................................................................................................ 27 
3.4.5 Level of Service ........................................................................................................................................ 28 
3.4.6 Capacity and Design Service Volume ...................................................................................................... 29 
3.5 Drainage ......................................................................................................................................... 29 
3.5.1 Design Parameters for Drains Longitudinal Gradient .............................................................................. 29 
3.5.2 Cross slope and Camber .......................................................................................................................... 30 
3.5.3 Minimum Section of Drains ..................................................................................................................... 30 
3.5.4 Pavement Internal Drainage ................................................................................................................... 31 
3.6 Design Standards of Structures ..................................................................................................... 31 "
6,PDF page 6,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 3  
 
 
3.6.1 Design Standards ..................................................................................................................................... 31 
3.6.2 Codes of Practices and standards............................................................................................................ 33 
3.6.3 Proposal of Bridges and Cross Drainage Structures ................................................................................ 35 
3.7 Provision of Retaining Walls/Breast Wall and other protection works ......................................... 37 
3.8 Embankment Design ...................................................................................................................... 38 
3.8.1 Reinforced Earth Wall Structure for Embankment & Slopes .................................................................. 38 
3.8.2 Drainage Layer......................................................................................................................................... 39 
4 CHAPTER-4 TRAFFIC SURVEY AND ANALYSIS ...................................................................................... 40 
4.1 General .......................................................................................................................................... 40 
4.2 Identification section for traffic surveys ........................................................................................ 40 
4.3 Traffic Survey data.......................................................................................................................... 43 
4.3.1 Classified Traffic Volume Count ............................................................................................................... 43 
4.3.2 Origin-Destination Survey (OD Survey) ................................................................................................... 43 
4.3.3 Axle Load Survey ..................................................................................................................................... 44 
4.3.4 Intersection Turning Movement Survey .................................................................................................. 44 
4.3.5 Truck Terminal Survey ............................................................................................................................. 44 
4.3.6 Pedestrian Count and Animal Count Survey ........................................................................................... 44 
4.3.7 Speed and Delay Surveys. ....................................................................................................................... 44 
4.3.8 Way Side Amenities ................................................................................................................................. 45 
4.3.9 Data Analysis - Classified Traffic Volume Count ...................................................................................... 45 
4.3.10 Data Analysis- OD Surveys ....................................................................................................................... 67 
4.4 Capacity Analysis ........................................................................................................................... 81 
4.4.1 Capacity and level of service guidelines .................................................................................................. 81 
4.4.2 Traffic at Intersection .............................................................................................................................. 82 
4.4.3 Improvement Proposals .......................................................................................................................... 83 
5 CHAPTER-5  PAVEMENT DESIGN ......................................................................................................... 84 
5.1 Introduction ................................................................................................................................... 84 
5.2 Frost Susceptibility of Soils ............................................................................................................ 86 
5.3 Extruded Polystrene Sheet ............................................................................................................ 86 
5.4 Data Collection and Calculations ................................................................................................... 87 
5.5 Design Life ...................................................................................................................................... 87 
5.6 Vehicle Damage Factor .................................................................................................................. 87 
5.7 Cumulative MSA for the Design Period ......................................................................................... 88 
5.8 Soil CBR .......................................................................................................................................... 89 
5.9 Proposed Pavement Composition ................................................................................................. 90 
5.10 DESIGN CHECK ............................................................................................................................... 90 
6 CHAPTER-6 GEOLOGICAL ASSESSMENT AND AVALANCHE PROTECTION WORK ............................... 91 
6.1 Introduction ................................................................................................................................... 91 "
7,PDF page 7,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 4  
 
 
6.1.1 Objective ................................................................................................................................................. 91 
6.1.2 Salient Features ....................................................................................................................................... 92 
6.1.3 Methodology ........................................................................................................................................... 92 
6.2 Regional Geology ........................................................................................................................... 94 
6.3 Geology of the Project Area .......................................................................................................... 99 
6.3.1 Geomorphology ...................................................................................................................................... 99 
6.3.2 Lithology ................................................................................................................................................ 107 
6.3.3 Geo-Hazards .......................................................................................................................................... 107 
6.4 Sub-surface investigations, field and laboratory tests ................................................................ 110 
6.5 Engineering geological assessment ............................................................................................. 110 
6.5.1 Ground Types and Associated Risks ...................................................................................................... 110 
6.5.2 GT-1: Low grounds comprising river terraces/Debris Fans Coalescing Zones ....................................... 110 
6.5.3 Selection of Structures .......................................................................................................................... 113 
6.5.4 Distribution of the Ground Types Along Alignment .............................................................................. 114 
6.6 AVALANCHE PROTECTION MEASURES ........................................................................................ 115 
6.6.1 Catch Dams............................................................................................................................................ 116 
6.6.2 Deflection Dams .................................................................................................................................... 116 
6.6.3 Air Blast Protection Wall ....................................................................................................................... 117 
6.7 CONCLUSIONS .............................................................................................................................. 119 
7 CHAPTER-7 DESIGN OF TUNNEL ....................................................................................................... 120 
7.1 Cut & Cover Tunnels .................................................................................................................... 120 
8 CHAPTER-8 ENVIRONMENTAL IMPACT ASSESSMENT ...................................................................... 122 
8.1 Objectives of the Environmental Impact Assessment (EIA) ........................................................ 122 
CHAPTER-9 COST ESTIMATE .......................................................................................................................... 123 
9.1 General ........................................................................................................................................ 123 
9.2 Methodology ............................................................................................................................... 123 
9.3 Unit Rates .................................................................................................................................... 123 
9.4 Construction Quantities ............................................................................................................... 124 
9.5 Pavement Design Options ........................................................................................................... 124 
9.6 Cost Components ........................................................................................................................ 124 
9.7 Contingencies and Supervision Costs .......................................................................................... 125 
9.8 Project Cost .................................................................................................................................. 125 
10 CHAPTER-10 ECONOMIC AND FINANCIAL ANALYSIS ........................................................................ 128 
10.1 Economic Analysis ....................................................................................................................... 128 
10.2 Methodology for Appraisal .......................................................................................................... 128 
10.3 Basic Input Data ........................................................................................................................... 128 
10.4 General Data ................................................................................................................................ 128 
10.5 Project Cost .................................................................................................................................. 128 "
8,PDF page 8,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 5  
 
 
10.6 Existing Road Roughness and Geometry ..................................................................................... 129 
10.7 Economic Cost of Vehicle Parameters ......................................................................................... 129 
10.7.1 Maintenance Labour and Crew Costs ................................................................................................... 130 
10.7.2 Passenger Time-delay Costs .................................................................................................................. 130 
10.8 Sensitivity Analysis ....................................................................................................................... 131 
10.9 Economic Analysis Results ........................................................................................................... 131 
10.10 Conclusions .................................................................................................................................. 131 
11 CHAPTER 11: WINTER ROAD MAINTENANCE ................................................................................... 132 
11.1 Winter maintenance mechanism in snow bound areas .............................................................. 132 
11.2 Weather information system ...................................................................................................... 132 
11.3 Snow and Ice-Control Measures .................................................................................................. 136 
11.3.1 Snow Plowing ........................................................................................................................................ 136 
11.3.2 Snow BLOWER ....................................................................................................................................... 136 
11.3.3 Snow Grader .......................................................................................................................................... 137 
11.3.4 Salt/brine spray ..................................................................................................................................... 137 
11.3.5 Sand / Abrasive Spray ............................................................................................................................ 137 
11.3.6 Calcium Magnesium Acetate (CMA)...................................................................................................... 138 
11.3.7 Potassium Acetate ................................................................................................................................. 138 
11.3.8 Anti-Skid Treatments ............................................................................................................................. 138 
11.3.9 Working Schedule for shift working ...................................................................................................... 140 
11.3.10 Winter Quality Standard ....................................................................................................................... 141 
11.4 Information and Road User ......................................................................................................... 141 
11.4.1 Information provision to the road user ................................................................................................. 141 
11.4.2 Use of weather related road sensor and variable road signs ................................................................ 142 
11.5 Cost Parameters .......................................................................................................................... 143 
11.5.1 Equipment Cost ..................................................................................................................................... 143 
11.6 Recommendations ....................................................................................................................... 144 
 
 
 
 
 
 "
9,PDF page 9,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 6  
 
 
 
List of Tables 
 
Table 0-1 Existing details ................................................................................................................................. 14 
Table 0-2: Traffic Sections of Project Highway ................................................................................................ 15 
Table 0-3: Recommended Pavement Crust Details for New Construction (Flexible Pavement) ..................... 16 
Table 0-5: Summary of Cost ............................................................................................................................. 18 
Table 3-1: Terrain classification for the roads based on per cent cross slope of the country ........................... 4 
Table 3-2: Terrain Classification ......................................................................................................................... 4 
Table 3-3: Design Speed ..................................................................................................................................... 4 
Table 3-4: Sight Distances for Various Speeds ................................................................................................... 5 
Table 3-5: Desirable Road Land Widths (metres)/ROW) ................................................................................... 5 
Table 3-6: Widening of Pavement at curves ...................................................................................................... 6 
Table 3-7: Shoulder Width ................................................................................................................................. 6 
Table 3-8: Cross Section Schedule ..................................................................................................................... 7 
Table 3-9: Camber/Crossfall in percentage for different Surface Types ......................................................... 16 
Table 3-10:Minimum Radii of Horizontal Curves ............................................................................................. 17 
Table 3-11 : Adopted Minimum Radii of Horizontal Curves ............................................................................ 17 
Table 3-12: Radii beyond which Superelevation is not required ..................................................................... 19 
Table 3-13: Minimum Length of Vertical Curve ............................................................................................... 21 
Table  3-14: Recommended Gradients ............................................................................................................ 21 
Table 3-15: Cross fall Standards ....................................................................................................................... 21 
Table 3-16: Junction Details ............................................................................................................................. 24 
Table 3-17 : Grouping of Soil Based on Frost Susceptibility ............................................................................ 26 
Table 3-18: Rigid Pavement Design Option ..................................................................................................... 27 
Table 3-19: Design Service Volume in PCU / day ............................................................................................. 28 
Table 3-20: Cross fall Standards ....................................................................................................................... 30 
Table 3-21: Summary of various Design Standards .......................................................................................... 31 
Table 3-22: Details Proposed Improvements for the Culverts ........................................................................ 35 
Table 3-23: Details of Proposed Improvements for Bridges ............................................................................ 35 
Table 3-24: Cross Drainage Structures / Culvert in Reconstruction ................................................................ 35 
Table  3-25: Cross Drainage Structures / Culvert in New Construction ........................................................... 36 
Table  3-26: Bridges Proposed for New Construction as Major Bridge ........................................................... 37 
Table 3-27: Bridges Proposed for New Construction as Minor Bridge ............................................................ 37 
Table 3-28: Provision of Retaining Wall/Breast Wall and other protection work ........................................... 38 
Table  4-1: Traffic Survey Schedule .................................................................................................................. 41 
Table  4-2: Classification of Vehicles ................................................................................................................ 43 "
10,PDF page 10,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 7  
 
 
Table  4-3: PCU factors adopted for the project highway ................................................................................ 45 
Table  4-4: Average Daily Traffic (Vehicles) ...................................................................................................... 46 
Table  4-5: Daily Traffic Variation at Km – 81+600 .......................................................................................... 47 
Table 4-6: Daily Traffic Variation at Km – 85+900 ........................................................................................... 47 
Table 4-7: Daily Traffic Variation at Km – 94+800. .......................................................................................... 48 
Table 4-8: Composition of traffic on an average day ....................................................................................... 54 
Table 4-9: Calculation for Seasonal Correction factor ..................................................................................... 56 
Table  4-10 : Seasonal Correction factor for Different Locations .................................................................... 57 
Table  4-11: AADT Variation along the Stretch ................................................................................................ 58 
Table   4-12:  Past Trend Vehicle Growth Rate of Registered Vehicles ........................................................... 59 
Table  4-13: Year wise Economic Parameters growth ..................................................................................... 59 
Table  4-14: Observed transport demand elasticity values and traffic growth ............................................... 60 
Table  4-15:  Projected transport demand elasticity values ............................................................................ 61 
Table  4-16: Projected growth rates of indicators ........................................................................................... 62 
Table  4-17: Estimated and recommended traffic growth rates ..................................................................... 62 
Table 4-18: Traffic Growth Rates ..................................................................................................................... 64 
Table  4-19: AADT comparison at all locations ................................................................................................ 65 
Table  4-20: AADT PCU comparison at all locations ........................................................................................ 66 
Table  4-21: Mode Wise Sample Size Achieved ............................................................................................... 67 
Table  4-22: List of Zones ................................................................................................................................. 67 
Table  4-23: Occupancy analysis for (Km-81+500) ........................................................................................... 68 
Table  4-24: Occupancy analysis for (Km-85+800) ........................................................................................... 68 
Table  4-25:  Load Distribution for Commercial vehicles at Km – 81+500 ....................................................... 68 
Table  4-26: Load Distribution for Commercial vehicles at Km – 85+800 ...................................................... 69 
Table 4-27: Trip Distribution of Passenger Vehicles at Km – 81+500 .............................................................. 70 
Table 4-28: Trip Distribution of Goods Vehicles at Km – 81+500 .................................................................... 70 
Table  4-29: Trip Distribution of Passenger Vehicles at Km – 85+800 ............................................................. 70 
Table  4-30: Trip Distribution of Goods Vehicles at Km – 85+500 ................................................................... 71 
Table  4-31: Travel frequency of Passenger Vehicles at Km – 81+500........................................................... 71 
Table  4-32: Trip length distribution of Passenger Vehicles at Km – 81+500 .................................................. 72 
Table 4-33: Composition of passenger vehicle with their purpose (Km-81+500) ........................................... 73 
Table  4-34: Travel frequency of Passenger Vehicles at Km – 85+800 ............................................................ 73 
Table  4-35: Trip length distribution of Commercial Vehicles at Km – 85+800 ............................................... 74 
Table  4-36: Composition of passenger vehicle with their purpose (Km-85+800) .......................................... 75 
Table  4-37: Travel frequency of Commercial Vehicles at Km – 81+500 ......................................................... 75 
Table  4-38: Trip length distribution of Commercial Vehicles at Km – 81+500 ............................................... 76 
Table 4-39: Vehicle wise Commodity Composition (%) (Km-81+500) ............................................................. 76 "
