field,category,data_type,normalized_unit,nullable,definition,validation,available_observations
project_name,identity,string_or_date,,True,project name; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
authority,identity,string_or_date,,True,authority; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
project_number,identity,string_or_date,,True,project number; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
package_number,identity,string_or_date,,True,package number; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
state,identity,string_or_date,,True,state; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
district,identity,string_or_date,,True,district; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
tehsil,identity,string_or_date,,True,tehsil; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
village,identity,string_or_date,,True,village; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
chainage_start,identity,string_or_date,,True,chainage start; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
chainage_end,identity,string_or_date,,True,chainage end; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
latitude,identity,string_or_date,,True,latitude; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
longitude,identity,string_or_date,,True,longitude; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
land_required_ha,land_acquisition,number,ha,True,"Source-defined required/proposed land, not necessarily purchased or legally acquired.",Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,399
land_available_ha,land_acquisition,number,ha,True,land available ha; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
land_to_be_acquired_ha,land_acquisition,number,ha,True,land to be acquired ha; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
land_acquired_ha,land_acquisition,number,ha,True,Source-defined acquisition total; land_tenure identifies purchase/resumption and other scope differences.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,384
land_acquired_till_now_ha,land_acquisition,number,ha,True,land acquired till now ha; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
acquisition_progress_pct,land_acquisition,number,%,True,Reported acquisition percentage with source-specific denominator; do not assume purchase-only denominator.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
3A_notification_number,land_acquisition,string_or_date,,True,3A notification number; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
3A_notification_date,land_acquisition,string_or_date,,True,3A notification date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
3D_notification_number,land_acquisition,string_or_date,,True,3D notification number; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
3D_notification_date,land_acquisition,string_or_date,,True,3D notification date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
award_number,land_acquisition,string_or_date,,True,award number; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
award_date,land_acquisition,string_or_date,,True,award date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
possession_date,land_acquisition,string_or_date,,True,possession date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
possession_percentage,land_acquisition,string_or_date,,True,possession percentage; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
CALA,land_acquisition,string_or_date,,True,CALA; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
acquisition_status,land_acquisition,string_or_date,,True,acquisition status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
compensation_amount,compensation,string_or_date,,True,compensation amount; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
compensation_awarded,compensation,string_or_date,,True,compensation awarded; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
compensation_paid,compensation,string_or_date,,True,compensation paid; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
compensation_pending,compensation,string_or_date,,True,compensation pending; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
payment_date,compensation,string_or_date,,True,payment date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
affected_families,rr_social_impact,number,count,True,affected families; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
landowners_count,compensation,number,count,True,landowners count; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
payment_status,compensation,string_or_date,,True,payment status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
SIA_status,rr_social_impact,string_or_date,,True,SIA status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
SIA_date,rr_social_impact,string_or_date,,True,SIA date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
RR_status,rr_social_impact,string_or_date,,True,RR status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
RR_progress,rr_social_impact,string_or_date,,True,RR progress; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
resettlement_sites,rr_social_impact,string_or_date,,True,resettlement sites; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
rehabilitation_status,rr_social_impact,string_or_date,,True,rehabilitation status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
case_number,legal,string_or_date,text,True,case number; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
court,legal,string_or_date,text,True,court; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
case_type,legal,string_or_date,,True,case type; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
filing_date,legal,string_or_date,,True,filing date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
case_status,legal,string_or_date,text,True,case status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
last_hearing_date,legal,string_or_date,,True,last hearing date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
legal_issue,legal,string_or_date,,True,legal issue; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
project_relation,legal,string_or_date,,True,project relation; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
approval_type,approvals,string_or_date,,True,approval type; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
proposal_number,approvals,string_or_date,,True,proposal number; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
approval_number,approvals,string_or_date,,True,approval number; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
approval_status,approvals,string_or_date,text,True,approval status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
application_date,approvals,string_or_date,,True,application date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
approval_date,approvals,string_or_date,,True,approval date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
expiry_date,approvals,string_or_date,,True,expiry date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
observation_date,climate,string_or_date,,True,observation date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
rainfall_mm,climate,number,mm,True,Actual rainfall over observation_period at district resolution; daily and cumulative are separate.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,20
temperature,climate,string_or_date,,True,temperature; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
humidity,climate,string_or_date,,True,humidity; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
weather_condition,climate,string_or_date,,True,weather condition; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
rainfall_category,climate,string_or_date,text,True,rainfall category; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,20
warning,climate,string_or_date,,True,warning; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
warning_date,climate,string_or_date,,True,warning date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
elevation,terrain_landscape,string_or_date,,True,elevation; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
slope,terrain_landscape,string_or_date,,True,slope; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
terrain_type,terrain_landscape,string_or_date,,True,terrain type; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
forest_intersection,terrain_landscape,string_or_date,,True,forest intersection; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
waterbody_intersection,terrain_landscape,string_or_date,,True,waterbody intersection; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
flood_risk,terrain_landscape,string_or_date,,True,flood risk; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
landslide_risk,terrain_landscape,string_or_date,,True,landslide risk; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
access_constraint,terrain_landscape,string_or_date,text,True,access constraint; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
barrier_type,barriers,string_or_date,,True,barrier type; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
barrier_description,barriers,string_or_date,text,True,barrier description; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,11
severity,barriers,string_or_date,,True,severity; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
start_date,barriers,string_or_date,,True,start date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
end_date,barriers,string_or_date,,True,end date; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
